COUNTY,year,n,CKD,htn,dm,ed,anemia
79,2013,3981,58,209,224,1343,195
81,2013,112854,2373,8207,5850,44754,3846
83,2013,263,5,15,13,99,9
85,2013,2759,59,280,225,1204,163
87,2013,12743,195,951,669,4460,578
89,2013,1675,19,78,72,403,42
91,2013,16849,292,1259,1005,7224,526
93,2013,12297,179,545,404,4875,316
95,2013,1234,15,71,68,488,25
97,2013,1640,23,92,72,551,47
99,2013,133087,2946,14611,10103,48915,9928
101,2013,4355,75,376,302,1822,185
103,2013,9271,122,449,435,3394,181
105,2013,5849,118,368,321,2819,288
107,2013,7945,128,476,393,3571,389
109,2013,3629,40,226,194,1236,84
111,2013,11201,243,837,677,3504,366
113,2013,2871,34,166,159,906,143
115,2013,21634,417,1754,1349,9164,1098
117,2013,13026,238,847,694,6018,340
119,2013,2165,33,167,141,574,73
121,2013,42246,962,3474,2625,20445,1558
123,2013,9788,184,504,483,3951,463
125,2013,134586,3251,14903,9610,48886,9802
127,2013,6943,104,365,366,2988,368
129,2013,4618,81,488,331,1596,177
131,2013,1006,23,85,64,331,30
133,2013,6004,113,400,373,2679,226
135,2013,1558,14,110,92,575,43
137,2013,5427,66,253,277,1689,252
139,2013,31198,499,1341,1238,10723,739
141,2013,2421,31,154,151,580,48
143,2013,5740,102,518,407,1872,181
145,2013,43448,1124,5089,3201,19608,2014
147,2013,30670,557,2924,1677,12040,917
149,2013,13440,199,848,655,6024,361
151,2013,8472,167,772,530,3255,258
153,2013,1686,31,133,104,617,48
155,2013,12637,183,683,565,4802,394
157,2013,10646,156,821,544,3975,351
159,2013,17343,299,1152,866,7641,482
161,2013,34956,666,2681,1988,12808,1264
163,2013,470299,13803,66599,37259,204464,40002
165,2013,8381,120,489,448,2977,491
