"","Overall","0","1","p","test","0","1","p","test","White","Black","Native American","Asian or PI","Hispanic","NA.","p","test"
"NONKIDNEYTX = 1 (%)","      519 (  0.0) ","      380 (  0.0) ","      139 (  0.4) ","<0.001","","      390 (  0.0) ","      129 (  0.6) ","<0.001","","      339 (  0.0) ","      136 (  0.0) ","        2 (  0.0) ","       10 (  0.0) ","       24 (  0.0) ","        8 (  0.0) "," 0.051",""
"NONPEDCONG = 1 (%)","    53526 (  3.7) ","    44582 (  3.1) ","     8944 ( 22.7) ","<0.001","","    46076 (  3.2) ","     7450 ( 33.0) ","<0.001","","    31038 (  3.6) ","    19559 (  4.1) ","      167 (  2.1) ","     1026 (  5.0) ","     1064 (  1.4) ","      672 (  3.6) ","<0.001",""
"OPHOSPITAL = 1 (%)","   676631 ( 46.2) ","   647439 ( 45.4) ","    29192 ( 74.1) ","<0.001","","   659512 ( 45.7) ","    17119 ( 75.9) ","<0.001","","   377945 ( 43.5) ","   249115 ( 52.5) ","     3610 ( 46.4) ","     6412 ( 31.1) ","    33636 ( 45.0) ","     5913 ( 31.9) ","<0.001",""
"OTHCARDIAC = 1 (%)","    37526 (  2.6) ","    32688 (  2.3) ","     4838 ( 12.3) ","<0.001","","    33809 (  2.3) ","     3717 ( 16.5) ","<0.001","","    21765 (  2.5) ","    13258 (  2.8) ","      163 (  2.1) ","      540 (  2.6) ","     1360 (  1.8) ","      440 (  2.4) ","<0.001",""
"PAD = 1 (%)","      358 (  0.0) ","      217 (  0.0) ","      141 (  0.4) ","<0.001","","      198 (  0.0) ","      160 (  0.7) ","<0.001","","      210 (  0.0) ","      122 (  0.0) ","        4 (  0.1) ","        6 (  0.0) ","        7 (  0.0) ","        9 (  0.0) "," 0.014",""
"PCI = 1 (%)","      471 (  0.0) ","      365 (  0.0) ","      106 (  0.3) ","<0.001","","      376 (  0.0) ","       95 (  0.4) ","<0.001","","      342 (  0.0) ","      102 (  0.0) ","        1 (  0.0) ","        6 (  0.0) ","       13 (  0.0) ","        7 (  0.0) ","<0.001",""
"PEDCKD = 1 (%)","    39406 (  2.7) ","        0 (  0.0) ","    39406 (100.0) ","<0.001","","    20802 (  1.4) ","    18604 ( 82.5) ","<0.001","","    22967 (  2.6) ","    14045 (  3.0) ","      150 (  1.9) ","      572 (  2.8) ","     1243 (  1.7) ","      429 (  2.3) ","<0.001",""
"PEDCONG = 1 (%)","     6845 (  0.5) ","     6340 (  0.4) ","      505 (  1.3) ","<0.001","","     6463 (  0.4) ","      382 (  1.7) ","<0.001","","     4378 (  0.5) ","     1810 (  0.4) ","       39 (  0.5) ","       80 (  0.4) ","      377 (  0.5) ","      161 (  0.9) ","<0.001",""
"PHYSICIANF = 1 (%)","  1274220 ( 87.0) ","  1236391 ( 86.7) ","    37829 ( 96.0) ","<0.001","","  1252544 ( 86.8) ","    21676 ( 96.1) ","<0.001","","   745109 ( 85.8) ","   424882 ( 89.6) ","     6134 ( 78.8) ","    18644 ( 90.3) ","    64885 ( 86.8) ","    14566 ( 78.6) ","<0.001",""
"PSYCH = 0 (%)","  1464860 (100.0) ","  1425454 (100.0) ","    39406 (100.0) "," NA","","  1442307 (100.0) ","    22553 (100.0) "," NA","","   868815 (100.0) ","   474365 (100.0) ","     7787 (100.0) ","    20637 (100.0) ","    74720 (100.0) ","    18536 (100.0) "," NA",""
"PVD = 1 (%)","    18371 (  1.3) ","    14554 (  1.0) ","     3817 (  9.7) ","<0.001","","    15220 (  1.1) ","     3151 ( 14.0) ","<0.001","","    10879 (  1.3) ","     6666 (  1.4) ","       61 (  0.8) ","      232 (  1.1) ","      323 (  0.4) ","      210 (  1.1) ","<0.001",""
"RCPNT_DLVRY = 1 (%)","    54925 (  3.7) ","    53462 (  3.8) ","     1463 (  3.7) "," 0.706","","    53972 (  3.7) ","      953 (  4.2) ","<0.001","","    34913 (  4.0) ","    14745 (  3.1) ","      326 (  4.2) ","      804 (  3.9) ","     3130 (  4.2) ","     1007 (  5.4) ","<0.001",""
"SNF = 0 (%)","  1464860 (100.0) ","  1425454 (100.0) ","    39406 (100.0) "," NA","","  1442307 (100.0) ","    22553 (100.0) "," NA","","   868815 (100.0) ","   474365 (100.0) ","     7787 (100.0) ","    20637 (100.0) ","    74720 (100.0) ","    18536 (100.0) "," NA",""
"TRANSPLANT = 1 (%)","     1037 (  0.1) ","      509 (  0.0) ","      528 (  1.3) ","<0.001","","      476 (  0.0) ","      561 (  2.5) ","<0.001","","      562 (  0.1) ","      398 (  0.1) ","        1 (  0.0) ","       25 (  0.1) ","       39 (  0.1) ","       12 (  0.1) ","<0.001",""
"age (mean (sd))","-54277.96 (589.92)","-54291.33 (584.48)","-53794.58 (582.30)","<0.001","","-54287.59 (584.97)","-53662.24 (579.10)","<0.001","","-54255.64 (607.47)","-54288.58 (556.69)","-54394.83 (484.88)","-54115.08 (733.16)","-54502.16 (450.44)","-54281.01 (703.78)","<0.001",""
"died = 0 (%)","  1464860 (100.0) ","  1425454 (100.0) ","    39406 (100.0) "," NA","","  1442307 (100.0) ","    22553 (100.0) "," NA","","   868815 (100.0) ","   474365 (100.0) ","     7787 (100.0) ","    20637 (100.0) ","    74720 (100.0) ","    18536 (100.0) "," NA",""
